"Date","Price","Open","High","Low","Vol.","Change %"
"2018-11-26","4.8608","4.9050","4.9250","4.7886","","0.22%"
"2018-11-23","4.8500","4.8491","4.9125","4.7932","","0.41%"
"2018-11-22","4.8300","4.8491","4.8950","4.7932","","-0.19%"
"2018-11-21","4.8390","4.8500","4.9063","4.7932","","0.38%"
"2018-11-20","4.8208","4.8620","4.9153","4.7812","","0.36%"
"2018-11-19","4.8035","4.9323","4.9555","4.7889","","-0.38%"
"2018-11-16","4.8220","4.9323","4.9605","4.7924","","0.14%"
"2018-11-15","4.8152","4.9323","4.9980","4.7883","","-0.79%"
"2018-11-14","4.8535","4.8304","5.0005","4.7900","","0.46%"
"2018-11-13","4.8312","4.8304","4.9500","4.7881","","0.44%"
"2018-11-12","4.8100","4.8304","4.9000","4.7928","","-0.36%"
"2018-11-09","4.8273","4.8606","4.8875","4.7928","","-0.62%"
"2018-11-08","4.8574","4.8606","4.8900","4.7928","","0.98%"
"2018-11-07","4.8104","4.8606","4.9150","4.7904","","-0.82%"
"2018-11-06","4.8503","4.8550","4.8800","4.7878","","1.15%"
"2018-11-05","4.7952","4.8550","4.8700","4.7913","","0.23%"
"2018-11-02","4.7841","4.8550","4.8750","4.7889","","-1.15%"
"2018-11-01","4.8400","4.8550","4.8675","4.7913","","1.07%"
"2018-10-31","4.7887","4.8353","4.8750","4.7889","","-3.36%"
"2018-10-30","4.9550","4.8325","4.9625","4.7913","","3.58%"
"2018-10-29","4.7839","4.8323","4.8550","4.7889","","-0.86%"
"2018-10-26","4.8254","4.7975","4.8550","4.7935","","-0.40%"
"2018-10-25","4.8450","4.8425","4.8550","4.7930","","0.98%"
"2018-10-24","4.7978","4.7975","4.8500","4.7887","","-0.40%"
"2018-10-23","4.8170","4.8300","4.8600","4.7913","","-0.37%"
"2018-10-22","4.8350","4.7987","4.9250","4.7150","","0.10%"
"2018-10-19","4.8300","4.8539","4.8700","4.7963","","0.75%"
"2018-10-18","4.7939","4.8850","4.8963","4.7775","","0.00%"
"2018-10-17","4.7940","4.8850","4.9050","4.7950","","0.01%"
"2018-10-16","4.7937","4.8850","4.9000","4.7175","","0.10%"
"2018-10-15","4.7889","4.8005","4.9102","4.7949","","-2.47%"
"2018-10-12","4.9100","4.8005","4.9200","4.8005","","2.26%"
"2018-10-11","4.8016","4.8050","4.9225","4.7800","","0.04%"
"2018-10-10","4.7998","4.8050","4.9375","4.7850","","0.02%"
"2018-10-09","4.7988","4.8050","4.9413","4.7849","","0.00%"
"2018-10-08","4.7986","4.8050","4.9500","4.7849","","0.13%"
"2018-10-05","4.7922","4.8050","4.9600","4.7860","","-3.19%"
"2018-10-04","4.9500","4.8050","4.9650","4.7792","","3.38%"
"2018-10-03","4.7880","4.8050","4.9600","4.7761","","-0.01%"
"2018-10-02","4.7885","4.8050","4.9650","4.7450","","0.28%"
"2018-10-01","4.7752","4.8050","4.9800","4.7368","","0.00%"
"2018-09-28","4.7750","4.8050","4.9850","4.7363","","0.13%"
"2018-09-27","4.7690","4.8050","5.0005","4.7671","","-0.07%"
"2018-09-26","4.7725","4.8050","4.9950","4.7711","","0.25%"
"2018-09-25","4.7607","4.8050","5.0000","4.7665","","-2.84%"
"2018-09-24","4.9000","4.7462","4.9650","4.7462","","3.27%"
"2018-09-21","4.7450","4.7462","4.7462","4.7462","","-0.30%"
"2018-09-20","4.7592","4.7462","4.9217","4.7375","","0.08%"
"2018-09-19","4.7554","4.7462","4.9200","4.7462","","-0.03%"
"2018-09-18","4.7570","4.7462","4.9653","4.7175","","0.04%"
"2018-09-17","4.7552","4.7462","4.9275","4.7462","","0.11%"
"2018-09-14","4.7500","4.7462","4.8800","4.7462","","-0.26%"
"2018-09-13","4.7625","4.7462","4.9100","4.7462","","0.47%"
"2018-09-12","4.7403","4.7462","4.8903","4.7438","","-0.31%"
"2018-09-11","4.7550","4.7462","4.9150","4.7462","","-0.58%"
"2018-09-10","4.7825","4.8150","4.9590","4.7456","","0.84%"
"2018-09-07","4.7425","4.8150","4.8750","4.7375","","0.15%"
"2018-09-06","4.7355","4.8150","4.8763","4.7288","","0.16%"
"2018-09-05","4.7277","4.8150","4.9700","4.7287","","-0.16%"
"2018-09-04","4.7355","4.8150","4.8650","4.7287","","0.01%"
"2018-09-03","4.7350","4.8150","4.8650","4.7375","","0.00%"
"2018-08-31","4.7350","4.8150","4.8850","4.7325","","0.11%"
"2018-08-30","4.7300","4.8150","4.8925","4.7325","","-0.11%"
"2018-08-29","4.7350","4.8150","4.9000","4.7325","","0.11%"
"2018-08-28","4.7300","4.8150","4.8600","4.7275","","0.00%"
